DefaultSC.ElapsedSecs     DefaultSC.Earth.Latitude   DefaultSC.Earth.Longitude   
105.0000000279397         5.354085913885563          -109.175564590193           
105.9999999473803         5.405055843490636          -109.1391484378842          
106.9999998668209         5.45602298550084           -109.1027255067587          
108.0000001005828         5.506987312941996          -109.0662957331242          
109.0000000200234         5.557948798824811          -109.0298590493213          
109.999999939464          5.608907416144717          -108.9934153915986          
110.9999998589046         5.659863137881715          -108.9569646948621          
112.0000000926666         5.710815937000236          -108.9205068953014          
113.0000000121072         5.761765786448997          -108.8840419251334          
113.9999999315478         5.812712659160846          -108.8475697204864          
114.9999998509884         5.86365652805262           -108.8110902161434          
116.0000000847504         5.914597366024988          -108.7746033481703          
117.000000004191          5.965535145962321          -108.7381090486585          
117.9999999236316         6.016469840732525          -108.7016072536101          
118.9999998430722         6.067401423186912          -108.6650978976809          
120.0000000768341         6.118329866160037          -108.6285809168065          
